,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
76,pangnirtung,20,CA,1553202000,46,66.15,-65.72,-14.81,3.36
77,praia da vitoria,40,PT,1553202911,82,38.73,-27.07,60.01,7.09
78,galle,1,US,1553203401,33,29.74,-97.91,79,5.82
79,naze,48,NG,1553203405,86,5.43,7.07,78.91,6.02
80,port alfred,0,ZA,1553203209,74,-33.59,26.89,64,3
81,poya,80,NC,1553203405,99,-21.35,165.16,78.82,9.15
82,vicksburg,1,US,1553202968,26,32.35,-90.88,73.4,13.87
83,teya,20,MX,1553202913,37,21.05,-89.07,86,17.22
84,lompoc,90,US,1553203250,63,34.64,-120.46,63,5.82
85,vilhena,40,BR,1553198400,88,-12.74,-60.15,78.8,9.17
86,lavrentiya,80,RU,1553203406,100,65.58,-170.99,2.95,35.84
87,chokurdakh,8,RU,1553203406,37,70.62,147.9,-24.87,9.15
88,lagoa,0,PT,1553203330,71,37.14,-8.45,57.99,5.82
89,esperance,20,TT,1553203208,58,10.24,-61.45,87.01,12.75
90,oranjestad,75,AW,1553198400,69,12.52,-70.03,82.4,19.46
91,clearwater,1,US,1553203364,45,27.97,-82.8,73,13.87
92,tateyama,92,JP,1553203202,94,36.66,137.31,54,2.55
93,burnie,80,AU,1553203264,91,-41.05,145.91,63,7
94,richmond hill,75,CA,1553203206,65,43.88,-79.44,48,5.82
95,cidreira,0,BR,1553203408,69,-30.17,-50.22,69.01,7.31
96,lorengau,32,PG,1553203408,100,-2.02,147.27,81.52,7.36
97,east london,12,ZA,1553203238,100,-33.02,27.91,69.46,11.34
98,ramanuj ganj,0,IN,1553203408,84,23.81,83.7,64.33,2.84
99,chuy,68,UY,1553203409,96,-33.69,-53.46,64.06,6.8
100,kavieng,0,PG,1553203274,100,-2.57,150.8,83.41,5.91
101,price,90,US,1553203144,100,39.6,-110.81,50,4.34
102,timbiqui,76,CO,1553203409,69,2.77,-77.67,84.04,5.08
103,souillac,0,FR,1553203269,43,45.6,-0.6,51.8,3.36
104,salym,68,RU,1553203410,92,60.06,71.48,29.86,4.85
105,torun,92,UA,1553202951,41,48.67,23.6,48.99,2.06
106,new norfolk,75,AU,1553203215,93,-42.78,147.06,59,3.29
107,bathsheba,75,BB,1553198400,69,13.22,-59.52,80.6,16.11
108,bluff,0,AU,1553203240,89,-23.58,149.07,69.01,2.89
109,gorno-altaysk,0,RU,1553203410,50,51.96,85.96,8.17,2.62
110,hobart,75,AU,1553203215,93,-42.88,147.33,59,2.84
111,payakumbuh,20,ID,1553203411,93,-0.23,100.63,69.46,2.33
112,hodkovice nad mohelkou,0,CZ,1553203024,92,50.67,15.09,46,2.84
113,kyren,44,RU,1553203411,80,51.68,102.13,8.08,1.5
114,kuryk,12,KZ,1553203411,91,43.18,51.68,42.28,5.53
115,langham,5,CA,1553202000,87,52.36,-106.96,51.8,12.75
116,caernarfon,0,GB,1553203275,93,53.14,-4.27,52,13.87
117,flinders,75,AU,1553203341,100,-34.58,150.85,71.01,3.36
118,roald,0,NO,1553203203,65,62.58,6.12,41,9.17
119,cherskiy,0,RU,1553203412,33,68.75,161.3,-22.35,2.21
120,nouakchott,64,MR,1553202000,88,18.08,-15.98,66.2,17.22
121,platanos,40,GR,1553203263,87,35.47,23.6,60.01,9.17
122,sept-iles,90,CA,1553203405,80,50.2,-66.38,32,9.17
123,westport,75,IE,1553203329,93,53.8,-9.52,52,9.17
124,vaini,0,IN,1553203413,84,15.34,74.49,62.8,1.32
125,rosignano marittimo,0,IT,1553203363,53,43.41,10.47,59,11.41
126,hilo,40,US,1553203272,61,19.71,-155.08,77,11.41
127,qaqortoq,20,GL,1553201400,60,60.72,-46.03,10.4,27.51
128,uga,32,NG,1553203414,87,7.28,8.67,76.03,13.06
129,ponta do sol,80,BR,1553203414,91,-20.63,-46,71.35,4.12
130,broome,75,GB,1553203402,87,52.47,1.45,55.4,8.05
131,arraial do cabo,90,BR,1553198400,94,-22.97,-42.02,73.4,13.87
132,byumba,20,RW,1553202770,82,-1.58,30.06,66.2,3.36
133,kodiak,1,US,1553203413,46,39.95,-94.76,57,8.05
134,grand gaube,40,MU,1553203142,74,-20.01,57.66,82.4,4.7
135,carauari,20,BR,1553203281,71,-4.88,-66.9,83.05,5.41
136,pevek,68,RU,1553203416,87,69.7,170.27,-9.93,4.34
137,san policarpo,100,PH,1553203416,100,12.18,125.51,75.76,7.76
138,nanortalik,64,GL,1553203246,100,60.14,-45.24,21.31,28.39
139,hopewell,90,US,1553203222,87,37.3,-77.29,52,11.41
140,ribeira grande,75,PT,1553200200,82,38.52,-28.7,60.8,8.05
141,padang,40,ID,1553198400,94,-0.92,100.36,75.2,3.36
142,dikson,68,RU,1553203417,93,73.51,80.55,8.53,16.2
143,novobirilyussy,20,RU,1553203283,88,56.95,90.69,19.51,6.24
144,mahebourg,40,MU,1553203142,74,-20.41,57.7,82.4,4.7
145,khorixas,0,NA,1553203283,47,-20.37,14.96,69.73,3.11
146,bredasdorp,88,ZA,1553202000,82,-34.53,20.04,59,8.03
147,parelhas,64,BR,1553203228,68,-6.69,-36.66,80.26,4
148,saldanha,0,PT,1553203418,61,41.42,-6.55,42.46,6.08
149,norman wells,75,CA,1553202000,56,65.28,-126.83,42.8,2.51
150,bethel,40,US,1553201580,69,60.79,-161.76,39.2,5.82
151,ancud,90,CL,1553198400,100,-41.87,-73.83,55.4,8.05
152,palmer,20,US,1553203419,65,61.6,-149.11,44.6,5.82
153,katsuura,75,JP,1553203050,67,33.93,134.5,60.8,18.34
154,vao,92,EE,1553203420,98,59.1,26.19,35.44,8.14
155,ishigaki,88,JP,1553203420,99,24.34,124.16,75.31,10.04
156,ginda,68,IN,1553203421,60,30.69,78.49,39.4,2.62
157,hereford,12,GB,1553203267,89,52.06,-2.72,53.01,4.23
158,midland,75,US,1553202900,48,32,-102.08,66.2,14.99
159,komsomolskiy,88,RU,1553203421,90,67.55,63.78,26.53,5.75
160,caravelas,80,BR,1553203421,100,-17.73,-39.27,80.17,17.6
161,nikko,44,JP,1553202905,59,36.75,139.62,57,3
162,akdepe,0,TM,1553200200,76,42.05,59.39,51.8,9.17
163,santa cruz de la palma,40,ES,1553203264,68,28.68,-17.76,64.4,14.99
164,potchefstroom,0,ZA,1553203422,60,-26.71,27.1,58.12,3.22
165,kaka,92,TM,1553203423,100,37.35,59.62,41.83,2.06
166,hithadhoo,88,MV,1553203423,100,-0.6,73.08,84.31,6.91
167,ranong,0,TH,1553203423,97,9.96,98.62,83.68,5.35
168,koygorodok,64,RU,1553203423,89,60.44,51.01,27.88,4.85
169,pacific grove,1,US,1553203269,54,36.62,-121.92,64.99,11.41
170,quelimane,75,MZ,1553198400,88,-17.88,36.89,80.6,2.24
171,abaujszanto,0,HU,1553202943,49,48.28,21.2,46.4,1.12
172,omsukchan,48,RU,1553203424,41,62.53,155.8,-15.06,2.51
173,port-cartier,90,CA,1553203109,80,50.03,-66.88,32,9.17
174,port macquarie,20,AU,1553203205,100,-31.43,152.91,70,8.05
175,san quintin,0,PH,1553203424,72,17.54,120.52,66.58,3.85
176,puerto ayora,20,EC,1553203026,74,-0.74,-90.35,84.2,12.75
177,georgetown,20,GY,1553198400,70,6.8,-58.16,86,13.87
178,namatanai,24,PG,1553203425,98,-3.66,152.44,83.5,6.31
179,jinchang,8,CN,1553203322,48,38.52,102.19,12.67,3.29
180,colares,0,PT,1553203238,76,38.8,-9.45,60.01,11.41
181,strezhevoy,75,RU,1553200200,100,60.73,77.6,28.4,8.95
182,sao filipe,12,CV,1553203425,96,14.9,-24.5,70.81,13.4
183,saint-joseph,0,FR,1553203081,57,43.56,6.97,57.99,2.24
184,moree,0,AU,1553202916,73,-29.46,149.84,75,11.41
185,maymyo,0,MM,1553203426,82,22.03,96.47,55.69,1.77
186,tautira,90,PF,1553203383,88,-17.73,-149.15,78.01,8.05
187,havoysund,90,NO,1553201400,92,71,24.66,32,17.22
188,longyearbyen,20,NO,1553201400,68,78.22,15.63,24.8,11.41
189,la oroya,76,PE,1553203427,97,-11.52,-75.9,44.17,3.29
190,vila velha,75,BR,1553203203,74,-3.71,-38.6,84.2,8.05
191,suntar,0,RU,1553203427,53,62.16,117.65,-4.71,4.74
192,guerrero negro,56,MX,1553203427,43,27.97,-114.04,69.46,14.7
193,sao jose da coroa grande,12,BR,1553203428,95,-8.9,-35.15,78.19,5.12
194,kingman,20,US,1553203401,30,35.19,-114.05,68,17.22
195,south venice,1,US,1553203420,43,27.05,-82.42,73.4,16.11
196,balkhash,20,KZ,1553203428,81,46.84,74.98,23.29,5.91
197,bouna,68,CI,1553203428,80,9.27,-3,79.09,6.87
198,ilulissat,75,GL,1553201400,57,69.22,-51.1,-7.61,12.75
199,imbituba,75,BR,1553202000,56,-28.24,-48.67,71.6,12.75
200,belawan,88,ID,1553203429,100,-0.59,114.46,71.98,2.55
201,mar del plata,44,AR,1553203297,38,-46.43,-67.52,68.56,7.43
202,niquelandia,48,BR,1553203428,87,-14.47,-48.46,77.92,6.53
203,kudahuvadhoo,56,MV,1553203429,100,2.67,72.89,83.86,13.35
204,sur,0,OM,1553203430,93,22.57,59.53,72.61,10.11
205,alekseyevsk,68,RU,1553203298,77,57.84,108.35,15.19,4.07
206,taltal,0,CL,1553203430,71,-25.41,-70.49,70.27,3.51
207,jumla,56,NP,1553203430,87,29.28,82.18,22.84,1.83
208,yulara,0,AU,1553198400,35,-25.24,130.99,69.8,3.36
209,buala,92,SB,1553203299,100,-8.15,159.59,79.09,5.12
210,eureka,1,US,1553203116,66,40.8,-124.16,62.01,6.93
211,diamantina,68,BR,1553203431,92,-18.24,-43.6,71.89,4.56
212,susangerd,0,IR,1553200200,32,31.56,48.19,66.2,2.24
213,roebourne,44,AU,1553203431,67,-20.77,117.15,84.4,16.71
214,mantes-la-ville,0,FR,1553203240,87,48.97,1.71,51.8,9.17
215,mildura,24,AU,1553202923,52,-34.18,142.16,69.8,5.82
216,camapua,48,BR,1553203432,78,-19.53,-54.04,76.66,7.92
217,kutum,0,SD,1553203301,21,14.2,24.66,65.5,9.33
218,coihaique,75,CL,1553198400,51,-45.58,-72.07,62.6,10.29
219,mehamn,0,NO,1553197800,79,71.03,27.85,28.4,19.46
220,kashary,36,RU,1553203433,89,49.04,41.01,31.3,3.33
221,bubaque,0,GW,1553203302,98,11.28,-15.83,78.19,14.18
222,faya,0,SA,1553198400,45,18.39,42.45,64.4,12.75
223,coahuayana,0,MX,1553203433,25,18.62,-100.35,88.81,3.22
224,nara,75,JP,1553203300,87,34.68,135.8,59,14.99
225,cabedelo,20,BR,1553198400,74,-6.97,-34.84,84.2,9.17
226,beyla,88,GN,1553202966,96,8.69,-8.65,71.01,5.12
227,marawi,8,PH,1553203006,88,8,124.29,71.01,5.99
228,kruisfontein,0,ZA,1553203434,86,-34,24.73,61,7.58
229,kaitangata,56,NZ,1553203304,86,-46.28,169.85,62.89,4
230,paris,0,FR,1553203105,76,48.86,2.35,54,3.36
231,kunya,0,NG,1553198400,29,12.22,8.53,89.6,4.7
232,college,75,US,1553203238,59,64.86,-147.8,50,4.12
233,ponta delgada,40,PT,1553203109,82,37.73,-25.67,57.2,3.4
234,henties bay,0,NA,1553202129,89,-22.12,14.28,62.01,4
235,trojes,0,AL,1553203200,54,41.76,19.96,53.6,4.7
236,kampot,20,KH,1553200200,94,10.62,104.18,77,2.24
237,aykhal,80,RU,1553203436,76,65.95,111.51,11.77,11.56
238,aklavik,90,CA,1553202000,72,68.22,-135.01,15.8,16.11
239,tuatapere,24,NZ,1553203207,87,-46.13,167.69,64.99,1.77
240,hukuntsi,0,BW,1553203436,23,-23.98,21.76,72.43,9.6
241,kavaratti,0,IN,1553203436,100,10.57,72.64,83.41,7.36
242,riyadh,0,SA,1553198400,19,24.63,46.72,68,6.93
243,saint-augustin,0,FR,1553203269,70,44.83,-0.61,51.01,6.42
244,biltine,0,TD,1553203437,24,14.53,20.93,75.85,7.54
245,fez,20,MA,1553202000,50,34.03,-5.02,53.6,12.75
246,bilibino,0,RU,1553203437,47,68.06,166.44,-16.86,2.21
247,dongsheng,92,CN,1553203438,93,29.72,112.52,43.63,15.64
248,songkhla,20,TH,1553200200,94,7.2,100.6,73.4,5.41
249,caconda,56,AO,1553203438,97,-13.73,15.06,59.38,2.33
250,upernavik,20,GL,1553203308,100,72.79,-56.15,-12.72,4.52
251,usogorsk,88,RU,1553203309,80,63.43,48.71,29.59,5.08
252,rakiv lis,12,UA,1553203438,79,51.62,24.92,40.48,9.04
253,shahpura,0,IN,1553203439,31,25.63,74.93,65.95,10.27
254,keningau,75,MY,1553200200,88,5.33,116.16,77,3.36
255,lixourion,0,GR,1553202949,46,38.2,20.43,60.01,18.39
256,avera,90,US,1553203392,34,33.19,-82.53,66.99,12.75
257,diamantino,80,BR,1553203440,90,-14.4,-56.44,76.66,7.14
258,christchurch,24,NZ,1553203386,77,-43.53,172.64,64,9.17
259,ulladulla,75,AU,1553202998,100,-35.36,150.48,71.01,3.36
260,los llanos de aridane,40,ES,1553203264,68,28.66,-17.92,64.4,14.99
261,sola,20,NO,1553203203,93,58.89,5.65,41,2.89
262,sao joao da barra,90,BR,1553198400,78,-21.64,-41.05,77,9.17
263,rocha,8,UY,1553203441,54,-34.48,-54.34,66.13,4.23
264,sharjah,0,AE,1553203154,69,25.36,55.39,73.99,4.7
265,victoria,75,BN,1553200200,88,5.28,115.24,80.6,2.24
266,thai binh,75,VN,1553198400,100,20.45,106.33,75.2,5.82
267,saint george,20,GR,1553201400,87,39.45,22.34,44.6,3.36
268,touros,40,BR,1553202000,79,-5.2,-35.46,84.2,6.93
269,bukama,32,CD,1553203442,82,-9.2,25.85,75.04,1.05
270,juneau,90,US,1553199660,87,58.3,-134.42,44.6,1.77
271,santa rosa,0,AR,1553203264,56,-36.62,-64.29,68.11,15.7
272,poum,44,MK,1553203313,87,41.28,20.71,37.15,1.61
273,nishihara,75,JP,1553203438,87,35.74,139.53,63,6.93
274,garissa,8,KE,1553203443,63,-0.46,39.64,81.34,10.38
275,torbay,20,CA,1553203407,40,47.66,-52.73,37.99,16.11
276,quarai,76,BR,1553203444,44,-30.39,-56.45,70.18,6.58
277,dunmore town,32,BS,1553203444,100,25.5,-76.65,74.14,5.64
278,korem,36,ET,1553203444,77,12.51,39.52,56.59,1.88
279,bambous virieux,40,MU,1553203441,74,-20.34,57.76,82.4,4.7
280,praia,75,BR,1553198400,88,-20.25,-43.81,75.2,6.93
281,chukhloma,80,RU,1553203445,95,58.76,42.68,30.22,10.78
282,ahipara,8,NZ,1553203445,85,-35.17,173.16,69.55,8.1
283,sayyan,24,YE,1553203445,69,15.17,44.32,52.99,2.51
284,ayr,75,GB,1553203366,81,55.46,-4.63,52,6.93
285,port hardy,75,CA,1553202000,47,50.7,-127.42,59,4.7
286,umm lajj,0,SA,1553203446,100,25.02,37.27,61.45,2.84
287,sidi ali,36,DZ,1553203316,88,36.1,0.42,47.77,5.23
288,kangaatsiaq,24,GL,1553203446,100,68.31,-53.46,-3.72,3.62
289,coquimbo,0,CL,1553198400,72,-29.95,-71.34,60.8,12.75
290,russell,0,AR,1553202000,25,-33.01,-68.8,73.4,4.7
291,manerbio,0,IT,1553203436,91,45.36,10.14,50,5.82
292,lexington,90,US,1553203361,75,38.05,-84.5,46,12.75
293,obernai,0,FR,1553203442,68,48.46,7.48,50,3.36
294,rawson,80,AR,1553203448,30,-43.3,-65.11,72.25,14.85
295,cuauhtemoc,64,MX,1553203276,38,28.72,-111.63,82,11.01
296,yanam,0,IN,1553203318,82,16.73,82.22,75.58,5.23
297,biryusinsk,56,RU,1553203448,71,55.96,97.82,21.76,4.23
298,alice springs,0,AU,1553200200,32,-23.7,133.88,68,4.7
299,sechura,32,PE,1553203449,65,-5.56,-80.82,81.34,12.68
300,saint-pierre,0,FR,1553202971,66,48.95,4.24,48.2,6.93
301,savannah bight,76,HN,1553203449,98,16.45,-85.85,79.63,9.15
302,jalu,48,LY,1553203449,40,29.03,21.55,72.07,12.39
303,san cristobal,75,EC,1553203004,59,-0.39,-78.55,66.2,3.36
304,champerico,20,MX,1553201220,45,16.38,-93.6,86,25.28
305,dwarka,20,IN,1553200200,56,28.58,77.04,71.6,6.93
306,kholodnyy,44,RU,1553203321,46,62.72,147.95,-18.12,2.73
307,makakilo city,90,US,1553203446,54,21.35,-158.09,82.4,6.93
308,pandan,0,PH,1553203450,99,11.72,122.09,80.08,17.72
309,grants pass,1,US,1553203415,36,42.44,-123.33,64,4.7
310,oskaloosa,1,US,1553203440,43,39.22,-95.31,60.01,6.93
311,isangel,64,VU,1553203322,100,-19.55,169.27,80.53,15.41
312,necochea,0,AR,1553203317,61,-38.55,-58.74,62.01,5.01
313,helsinki,0,FI,1553202738,86,60.17,24.94,39.2,11.41
314,boddam,20,GB,1553203204,93,57.47,-1.78,48,6.93
315,port lincoln,0,AU,1553203452,100,-34.72,135.86,63.16,12.28
316,baykit,88,RU,1553203452,82,61.68,96.39,24.46,9.89
317,adrar,0,DZ,1553202000,27,27.87,-0.29,62.6,13.87
318,davila,0,PH,1553203452,92,18.47,120.58,78.46,7.25
319,la ronge,5,CA,1553202000,42,55.1,-105.3,44.6,5.82
320,hasaki,75,JP,1553202999,93,35.73,140.83,60.8,2.24
321,goya,0,AR,1553203324,78,-29.14,-59.27,69.91,4.52
322,sindor,12,RU,1553203453,89,62.87,51.9,27.88,7.25
323,codrington,36,AU,1553203408,94,-28.95,153.24,72,3.33
324,san pedro,76,AR,1553202770,59,-33.68,-59.66,66,6.8
325,zhezkazgan,0,KZ,1553203456,55,47.8,67.71,19.96,3.22
326,narsaq,20,GL,1553201400,60,60.91,-46.05,10.4,27.51
327,sioux lookout,40,CA,1553202000,48,50.1,-91.92,42.8,9.17
328,bloomingdale,90,US,1553203406,74,41.96,-88.08,46,8.05
329,san patricio,0,PY,1553203327,63,-26.98,-56.83,72.25,5.91
330,half moon bay,1,US,1553203454,76,37.46,-122.43,64.99,9.17
331,clyde river,40,CA,1553202000,61,70.47,-68.59,-18.41,8.05
332,calabozo,0,VE,1553203457,31,8.92,-67.43,98.08,10.89
333,sisimiut,12,GL,1553203457,43,66.94,-53.67,-15.24,1.99
334,tucumcari,40,US,1553203217,36,35.17,-103.73,60.8,9.15
335,high level,20,CA,1553202000,45,58.52,-117.13,48.2,10.29
336,kondol,80,RU,1553200993,78,52.82,45.06,35.01,5.3
337,nome,1,US,1553203435,25,30.04,-94.42,77,4.7
338,pasighat,92,IN,1553203458,97,28.06,95.33,53.08,1.72
339,oktyabrskoye,0,RU,1553203220,79,56.73,85.44,25,8.95
340,devils lake,1,US,1553202900,81,48.11,-98.87,44.6,8.05
341,itoman,75,JP,1553203387,88,26.12,127.67,73,12.75
342,biak,68,ID,1553203459,81,-0.91,122.88,82.15,2.1
343,hobyo,92,SO,1553203459,87,5.35,48.53,79.18,11.83
344,road town,20,VG,1553203164,61,18.42,-64.62,82.4,9.17
345,umm kaddadah,0,SD,1553203460,15,13.6,26.69,71.53,9.82
346,paciran,76,ID,1553203460,97,-6.9,112.33,73.78,3.4
347,show low,1,US,1553203207,37,34.25,-110.03,57.2,21.92
348,ust-barguzin,20,RU,1553203460,62,53.41,109.03,-0.75,2.28
349,mongoumba,8,CD,1553203460,77,3.64,18.59,79.99,1.99
350,merauke,36,ID,1553203461,88,-8.49,140.4,81.88,16.71
351,baoding,64,CN,1553203461,42,38.86,115.49,37.51,3.74
352,gunjur,40,GM,1553202000,88,13.18,-16.76,69.8,11.41
353,kenai,75,US,1553202962,69,60.55,-151.26,44.6,13.87
354,greenville,90,US,1553203441,44,34.85,-82.4,61,16.11
355,kaliua,12,TZ,1553203462,92,-5.06,31.79,67.21,2.33
356,luderitz,0,NA,1553203462,74,-26.65,15.16,62.44,18.1
357,bichura,76,RU,1553203462,67,50.59,107.6,17.35,5.75
358,tessalit,0,ML,1553203462,15,20.2,1.01,67.12,8.66
359,ulundi,92,ZA,1553203463,97,-28.29,31.43,63.25,2.62
360,kongolo,44,CD,1553203463,87,-5.39,27,72.97,3.22
361,wenatchee,1,US,1553203217,45,47.42,-120.31,63,2.28
362,rio gallegos,0,AR,1553198400,45,-51.62,-69.22,62.6,12.75
363,klyuchi,0,RU,1553203464,68,52.25,79.17,13.93,7.09
364,kahului,20,US,1553203351,50,20.89,-156.47,80.6,16.11
365,nouadhibou,12,MR,1553202000,88,20.93,-17.03,64.4,10.29
366,candolim,0,IN,1553203412,100,15.52,73.76,71.35,6.91
367,yar-sale,48,RU,1553203464,83,66.83,70.83,20.95,11.39
368,serenje,44,ZM,1553203464,86,-13.23,30.22,63.88,4.63
369,kalemie,12,CD,1553203465,97,-5.95,29.2,78.55,3.29
370,mamontovo,0,RU,1553203465,63,52.71,81.63,8.98,6.91
371,inhambane,0,MZ,1553203465,97,-23.87,35.38,77.56,7.76
372,hamilton,90,CA,1553203382,70,43.26,-79.87,48.2,6.93
373,kjopsvik,75,NO,1553202991,86,68.1,16.37,33.01,8.05
374,kamphaeng phet,0,TH,1553203466,82,16.47,99.53,72.52,2.1
375,bignona,0,SN,1553202000,78,12.8,-16.23,75.2,2.24
376,weston,90,US,1553203460,70,41.2,-73.38,46.99,9.17
377,chibuto,0,MZ,1553203467,67,-24.69,33.53,78.91,8.77
378,chimbote,44,PE,1553203467,85,-9.08,-78.59,73.24,5.53
379,huarmey,24,PE,1553203467,60,-10.07,-78.15,76.84,3.4
380,vila franca do campo,40,PT,1553203467,82,37.72,-25.43,57.2,4.85
381,sungairaya,24,ID,1553203468,93,0.7,108.9,74.95,3.78
382,cururupu,92,BR,1553203468,91,-1.82,-44.87,79.36,4.29
383,moranbah,0,AU,1553203468,88,-22,148.04,66.85,4.23
384,srandakan,44,ID,1553203468,97,-7.94,110.25,70.63,2.73
385,el congo,40,SV,1553203222,29,13.91,-89.5,89.6,11.41
386,altamira,75,BR,1553198400,83,-3.2,-52.21,82.4,4.7
387,vardo,90,US,1553203445,87,39.62,-77.74,44.01,11.41
388,mata grande,36,BR,1553203470,92,-9.12,-37.73,73.06,2.33
389,orlik,20,RU,1553203470,67,52.51,99.83,-9.3,1.99
390,gizo,40,IL,1553203426,87,31.8,34.94,60.8,2.24
